Lendo banco em: C:\Users\spcom\Desktop\10D REAL 5.0\1CRYPTEN_SPACE_V4.0\backend\backtest_data.db
Tabelas: ['klines', 'eligible_pairs']

Top 50 Contagem de Klines por Símbolo e Intervalo:
Símbolo              | Intervalo  | Contagem   | Min Time        | Max Time       
--------------------------------------------------------------------------------
AAVEUSDT             | 30         |       1930 | 2026-04-07 07:00 | 2026-05-17 11:30
ADAUSDT              | 30         |       1930 | 2026-04-07 07:00 | 2026-05-17 11:30
ALGOUSDT             | 30         |       1930 | 2026-04-07 07:00 | 2026-05-17 11:30
APTUSDT              | 30         |       1930 | 2026-04-07 07:00 | 2026-05-17 11:30
ARBUSDT              | 30         |       1930 | 2026-04-07 07:00 | 2026-05-17 11:30
AVAXUSDT             | 30         |       1930 | 2026-04-07 07:00 | 2026-05-17 11:30
BCHUSDT              | 30         |       1930 | 2026-04-07 07:00 | 2026-05-17 11:30
CRVUSDT              | 30         |       1930 | 2026-04-07 07:00 | 2026-05-17 11:30
DOTUSDT              | 30         |       1930 | 2026-04-07 07:00 | 2026-05-17 11:30
EGLDUSDT             | 30         |       1930 | 2026-04-07 07:00 | 2026-05-17 11:30
GALAUSDT             | 30         |       1930 | 2026-04-07 07:00 | 2026-05-17 11:30
IMXUSDT              | 30         |       1930 | 2026-04-07 07:00 | 2026-05-17 11:30
INJUSDT              | 30         |       1930 | 2026-04-07 07:00 | 2026-05-17 11:30
LINKUSDT             | 30         |       1930 | 2026-04-07 07:00 | 2026-05-17 11:30
LTCUSDT              | 30         |       1930 | 2026-04-07 07:00 | 2026-05-17 11:30
NEARUSDT             | 30         |       1930 | 2026-04-07 07:00 | 2026-05-17 11:30
OPUSDT               | 30         |       1930 | 2026-04-07 07:00 | 2026-05-17 11:30
POLUSDT              | 30         |       1930 | 2026-04-07 07:00 | 2026-05-17 11:30
PYTHUSDT             | 30         |       1930 | 2026-04-07 07:00 | 2026-05-17 11:30
RENDERUSDT           | 30         |       1930 | 2026-04-07 07:00 | 2026-05-17 11:30
SEIUSDT              | 30         |       1930 | 2026-04-07 07:00 | 2026-05-17 11:30
SUIUSDT              | 30         |       1930 | 2026-04-07 07:00 | 2026-05-17 11:30
TIAUSDT              | 30         |       1930 | 2026-04-07 07:00 | 2026-05-17 11:30
XLMUSDT              | 30         |       1930 | 2026-04-07 07:00 | 2026-05-17 11:30
XRPUSDT              | 30         |       1930 | 2026-04-07 07:00 | 2026-05-17 11:30
ATOMUSDT             | 30         |       1929 | 2026-04-07 07:00 | 2026-05-17 11:00
TRXUSDT              | 30         |       1929 | 2026-04-07 07:00 | 2026-05-17 11:00
FILUSDT              | 30         |       1926 | 2026-04-07 09:00 | 2026-05-17 11:30
GRTUSDT              | 30         |       1926 | 2026-04-07 09:00 | 2026-05-17 11:30
AAVEUSDT             | 1h         |       1643 | 2026-03-10 01:00 | 2026-05-17 11:00
ADAUSDT              | 1h         |       1643 | 2026-03-10 01:00 | 2026-05-17 11:00
ALGOUSDT             | 1h         |       1643 | 2026-03-10 01:00 | 2026-05-17 11:00
APTUSDT              | 1h         |       1643 | 2026-03-10 01:00 | 2026-05-17 11:00
ARBUSDT              | 1h         |       1643 | 2026-03-10 01:00 | 2026-05-17 11:00
ATOMUSDT             | 1h         |       1643 | 2026-03-10 01:00 | 2026-05-17 11:00
AVAXUSDT             | 1h         |       1643 | 2026-03-10 01:00 | 2026-05-17 11:00
BCHUSDT              | 1h         |       1643 | 2026-03-10 01:00 | 2026-05-17 11:00
CRVUSDT              | 1h         |       1643 | 2026-03-10 01:00 | 2026-05-17 11:00
DOTUSDT              | 1h         |       1643 | 2026-03-10 01:00 | 2026-05-17 11:00
EGLDUSDT             | 1h         |       1643 | 2026-03-10 01:00 | 2026-05-17 11:00
GALAUSDT             | 1h         |       1643 | 2026-03-10 01:00 | 2026-05-17 11:00
INJUSDT              | 1h         |       1643 | 2026-03-10 01:00 | 2026-05-17 11:00
LINKUSDT             | 1h         |       1643 | 2026-03-10 01:00 | 2026-05-17 11:00
LTCUSDT              | 1h         |       1643 | 2026-03-10 01:00 | 2026-05-17 11:00
NEARUSDT             | 1h         |       1643 | 2026-03-10 01:00 | 2026-05-17 11:00
OPUSDT               | 1h         |       1643 | 2026-03-10 01:00 | 2026-05-17 11:00
POLUSDT              | 1h         |       1643 | 2026-03-10 01:00 | 2026-05-17 11:00
RENDERUSDT           | 1h         |       1643 | 2026-03-10 01:00 | 2026-05-17 11:00
SEIUSDT              | 1h         |       1643 | 2026-03-10 01:00 | 2026-05-17 11:00
SUIUSDT              | 1h         |       1643 | 2026-03-10 01:00 | 2026-05-17 11:00
